file_name,.pred_fruit,.pred_flower,.logit_fruit,.logit_flower,.class_flower,.class_fruit,.equivocal_flower,.equivocal_fruit
100046785.jpg,0.8974609375,0.05560302734375,2.171875,-2.83203125,Not Detected,Detected,Unequivocal,Unequivocal
100230523.jpg,0.0035114288330078125,0.9970703125,-5.6484375,5.9140625,Detected,Not Detected,Unequivocal,Unequivocal
100237266.jpg,0.2069091796875,0.04510498046875,-1.34375,-3.052734375,Not Detected,Not Detected,Unequivocal,Unequivocal
100311149.jpg,0.374755859375,0.281982421875,-0.51220703125,-0.9345703125,Not Detected,Not Detected,Equivocal,Equivocal
100439353.jpg,0.07183837890625,0.99560546875,-2.55859375,5.4296875,Detected,Not Detected,Unequivocal,Unequivocal
100440335.jpg,0.2281494140625,0.1993408203125,-1.21875,-1.390625,Not Detected,Not Detected,Unequivocal,Unequivocal
100449765.jpg,0.374755859375,0.281982421875,-0.51220703125,-0.9345703125,Not Detected,Not Detected,Equivocal,Equivocal
100456857.jpg,0.189208984375,0.86962890625,-1.455078125,1.8974609375,Detected,Not Detected,Unequivocal,Unequivocal
100465745.jpeg,0.049957275390625,0.0296478271484375,-2.9453125,-3.48828125,Not Detected,Not Detected,Unequivocal,Unequivocal
100535170.jpeg,0.015838623046875,0.998046875,-4.12890625,6.33984375,Detected,Not Detected,Unequivocal,Unequivocal
100610413.jpg,0.0177764892578125,0.98779296875,-4.01171875,4.39453125,Detected,Not Detected,Unequivocal,Unequivocal
100684261.jpg,0.0765380859375,0.5693359375,-2.490234375,0.279296875,Not Detected,Not Detected,Equivocal,Unequivocal
10073144.jpeg,0.0975341796875,0.98193359375,-2.224609375,3.990234375,Detected,Not Detected,Unequivocal,Unequivocal
100845246.jpg,0.57470703125,0.018585205078125,0.30078125,-3.966796875,Not Detected,Detected,Unequivocal,Equivocal
100848799.jpg,0.86083984375,0.0560302734375,1.82421875,-2.82421875,Not Detected,Detected,Unequivocal,Unequivocal
101011076.jpg,0.00861358642578125,0.998046875,-4.74609375,6.2109375,Detected,Not Detected,Unequivocal,Unequivocal
101149588.jpg,0.02001953125,0.0181884765625,-3.890625,-3.98828125,Not Detected,Not Detected,Unequivocal,Unequivocal
101157207.jpg,0.328857421875,0.91259765625,-0.71337890625,2.345703125,Detected,Not Detected,Unequivocal,Equivocal
101165785.jpg,0.0838623046875,0.99072265625,-2.390625,4.69140625,Detected,Not Detected,Unequivocal,Unequivocal
101166305.jpg,0.03515625,0.9990234375,-3.3125,7.125,Detected,Not Detected,Unequivocal,Unequivocal
101173373.jpeg,0.0244293212890625,0.0150146484375,-3.6875,-4.18359375,Not Detected,Not Detected,Unequivocal,Unequivocal
101377054.jpg,0.0863037109375,0.99951171875,-2.359375,7.38671875,Detected,Not Detected,Unequivocal,Unequivocal
101480804.jpg,0.54345703125,0.11181640625,0.17431640625,-2.072265625,Not Detected,Detected,Unequivocal,Equivocal
101547900.jpg,0.309814453125,0.98681640625,-0.80078125,4.30078125,Detected,Not Detected,Unequivocal,Equivocal
101594596.jpeg,0.1961669921875,0.2100830078125,-1.41015625,-1.32421875,Not Detected,Not Detected,Unequivocal,Unequivocal
101712857.jpg,0.0192718505859375,0.95947265625,-3.9296875,3.169921875,Detected,Not Detected,Unequivocal,Unequivocal
101959793.jpeg,0.006122589111328125,0.99853515625,-5.08984375,6.63671875,Detected,Not Detected,Unequivocal,Unequivocal
102179417.jpeg,0.038330078125,0.97802734375,-3.22265625,3.798828125,Detected,Not Detected,Unequivocal,Unequivocal
102179598.jpeg,0.00812530517578125,0.990234375,-4.8046875,4.63671875,Detected,Not Detected,Unequivocal,Unequivocal
102389458.jpeg,0.060211181640625,0.9970703125,-2.748046875,5.80859375,Detected,Not Detected,Unequivocal,Unequivocal
102425341.jpeg,0.19677734375,0.65771484375,-1.40625,0.65234375,Not Detected,Not Detected,Equivocal,Unequivocal
102425345.jpeg,0.03662109375,0.705078125,-3.26953125,0.87255859375,Not Detected,Not Detected,Equivocal,Unequivocal
102425347.jpeg,0.7548828125,0.1993408203125,1.125,-1.390625,Not Detected,Detected,Unequivocal,Unequivocal
102428595.jpg,0.10931396484375,0.669921875,-2.09765625,0.70703125,Not Detected,Not Detected,Equivocal,Unequivocal
102670313.jpg,0.046295166015625,0.08447265625,-3.025390625,-2.3828125,Not Detected,Not Detected,Unequivocal,Unequivocal
102693297.jpg,0.52734375,0.06463623046875,0.10968017578125,-2.671875,Not Detected,Not Detected,Unequivocal,Equivocal
102730730.jpg,0.435546875,0.394287109375,-0.25927734375,-0.429443359375,Not Detected,Not Detected,Equivocal,Equivocal
102736143.jpeg,0.024658203125,0.998046875,-3.677734375,6.2265625,Detected,Not Detected,Unequivocal,Unequivocal
102780853.jpeg,0.93505859375,0.03143310546875,2.6640625,-3.427734375,Not Detected,Detected,Unequivocal,Unequivocal
102783867.png,0.25732421875,0.37841796875,-1.0595703125,-0.496337890625,Not Detected,Not Detected,Equivocal,Equivocal
102794052.jpeg,0.0374755859375,0.2303466796875,-3.24609375,-1.2060546875,Not Detected,Not Detected,Unequivocal,Unequivocal
102830600.jpeg,0.7158203125,0.07305908203125,0.92333984375,-2.541015625,Not Detected,Detected,Unequivocal,Equivocal
102835171.jpg,0.015716552734375,0.0207977294921875,-4.13671875,-3.8515625,Not Detected,Not Detected,Unequivocal,Unequivocal
102891001.jpeg,0.0457763671875,0.1044921875,-3.037109375,-2.1484375,Not Detected,Not Detected,Unequivocal,Unequivocal
102956926.jpg,0.0092315673828125,0.15380859375,-4.67578125,-1.705078125,Not Detected,Not Detected,Unequivocal,Unequivocal
102993492.jpg,0.97802734375,0.0185394287109375,3.802734375,-3.96875,Not Detected,Detected,Unequivocal,Unequivocal
102998732.jpeg,0.12841796875,0.904296875,-1.9150390625,2.244140625,Detected,Not Detected,Unequivocal,Unequivocal
103065451.jpg,0.281494140625,0.2178955078125,-0.9365234375,-1.2783203125,Not Detected,Not Detected,Unequivocal,Equivocal
103065454.jpg,0.1689453125,0.2322998046875,-1.5927734375,-1.1953125,Not Detected,Not Detected,Unequivocal,Unequivocal
103283400.jpeg,0.88134765625,0.040008544921875,2.00390625,-3.177734375,Not Detected,Detected,Unequivocal,Unequivocal
103283403.jpeg,0.0082855224609375,0.9951171875,-4.78515625,5.2890625,Detected,Not Detected,Unequivocal,Unequivocal
103283404.jpeg,0.125244140625,0.156494140625,-1.943359375,-1.6845703125,Not Detected,Not Detected,Unequivocal,Unequivocal
103388089.jpg,0.04376220703125,0.0182952880859375,-3.083984375,-3.982421875,Not Detected,Not Detected,Unequivocal,Unequivocal
103481896.jpeg,0.734375,0.08990478515625,1.0166015625,-2.314453125,Not Detected,Detected,Unequivocal,Equivocal
103597155.jpg,0.962890625,0.010986328125,3.259765625,-4.5,Not Detected,Detected,Unequivocal,Unequivocal
103782819.jpeg,0.7646484375,0.050323486328125,1.1796875,-2.9375,Not Detected,Detected,Unequivocal,Unequivocal
103802765.jpg,0.06231689453125,0.0299224853515625,-2.7109375,-3.478515625,Not Detected,Not Detected,Unequivocal,Unequivocal
103829101.jpg,0.00821685791015625,0.99853515625,-4.79296875,6.4140625,Detected,Not Detected,Unequivocal,Unequivocal
103839777.jpeg,0.006565093994140625,0.99951171875,-5.01953125,7.421875,Detected,Not Detected,Unequivocal,Unequivocal
103883337.jpg,0.6376953125,0.0261993408203125,0.56494140625,-3.615234375,Not Detected,Detected,Unequivocal,Equivocal
103901810.jpg,0.0074310302734375,0.9990234375,-4.89453125,6.78515625,Detected,Not Detected,Unequivocal,Unequivocal
103902057.jpeg,0.7353515625,0.25537109375,1.021484375,-1.0703125,Not Detected,Detected,Unequivocal,Equivocal
103916646.jpg,0.430419921875,0.1640625,-0.27978515625,-1.6279296875,Not Detected,Not Detected,Unequivocal,Equivocal
103920923.jpeg,0.0704345703125,0.5654296875,-2.580078125,0.263671875,Not Detected,Not Detected,Equivocal,Unequivocal
103965335.jpeg,0.96435546875,0.051666259765625,3.294921875,-2.91015625,Not Detected,Detected,Unequivocal,Unequivocal
104225579.jpeg,0.0253753662109375,0.974609375,-3.6484375,3.640625,Detected,Not Detected,Unequivocal,Unequivocal
104236744.jpeg,0.06903076171875,0.1834716796875,-2.6015625,-1.4931640625,Not Detected,Not Detected,Unequivocal,Unequivocal
104247972.jpeg,0.0029010772705078125,0.99951171875,-5.83984375,7.56640625,Detected,Not Detected,Unequivocal,Unequivocal
104360778.jpg,0.0022430419921875,0.86669921875,-6.09765625,1.87109375,Detected,Not Detected,Unequivocal,Unequivocal
104434685.jpg,0.06683349609375,0.07080078125,-2.63671875,-2.57421875,Not Detected,Not Detected,Unequivocal,Unequivocal
104434687.jpg,0.015960693359375,0.99853515625,-4.12109375,6.67578125,Detected,Not Detected,Unequivocal,Unequivocal
104470339.jpeg,0.0293121337890625,0.7822265625,-3.5,1.27734375,Not Detected,Not Detected,Equivocal,Unequivocal
104560444.jpg,0.243408203125,0.217529296875,-1.1337890625,-1.2802734375,Not Detected,Not Detected,Unequivocal,Equivocal
104826333.jpeg,0.04534912109375,0.09771728515625,-3.046875,-2.22265625,Not Detected,Not Detected,Unequivocal,Unequivocal
104826334.jpeg,0.0312042236328125,0.054107666015625,-3.435546875,-2.861328125,Not Detected,Not Detected,Unequivocal,Unequivocal
104826448.jpeg,0.0141754150390625,0.7021484375,-4.2421875,0.8564453125,Not Detected,Not Detected,Equivocal,Unequivocal
104826449.jpeg,0.044921875,0.2076416015625,-3.056640625,-1.3388671875,Not Detected,Not Detected,Unequivocal,Unequivocal
104826602.jpeg,0.004791259765625,0.7734375,-5.3359375,1.228515625,Not Detected,Not Detected,Equivocal,Unequivocal
104826603.jpeg,0.00096607208251953125,0.9970703125,-6.94140625,5.796875,Detected,Not Detected,Unequivocal,Unequivocal
104826604.jpeg,0.002590179443359375,0.9990234375,-5.953125,7.13671875,Detected,Not Detected,Unequivocal,Unequivocal
104874312.jpeg,0.00821685791015625,0.10211181640625,-4.79296875,-2.173828125,Not Detected,Not Detected,Unequivocal,Unequivocal
104990159.jpeg,0.008880615234375,0.9931640625,-4.71484375,4.99609375,Detected,Not Detected,Unequivocal,Unequivocal
105000782.jpeg,0.038330078125,0.443115234375,-3.22265625,-0.2281494140625,Not Detected,Not Detected,Equivocal,Unequivocal
105000815.jpeg,0.188720703125,0.48486328125,-1.4580078125,-0.060821533203125,Not Detected,Not Detected,Equivocal,Unequivocal
105000843.jpeg,0.08758544921875,0.5888671875,-2.34375,0.359619140625,Not Detected,Not Detected,Equivocal,Unequivocal
105126356.jpeg,0.0701904296875,0.99853515625,-2.583984375,6.64453125,Detected,Not Detected,Unequivocal,Unequivocal
105277652.jpg,0.487060546875,0.349853515625,-0.05194091796875,-0.61962890625,Not Detected,Not Detected,Equivocal,Equivocal
105278027.jpg,0.03533935546875,0.99169921875,-3.306640625,4.78515625,Detected,Not Detected,Unequivocal,Unequivocal
105330892.jpg,0.029083251953125,0.99609375,-3.5078125,5.49609375,Detected,Not Detected,Unequivocal,Unequivocal
105363707.jpg,0.0153656005859375,0.429443359375,-4.16015625,-0.283935546875,Not Detected,Not Detected,Equivocal,Unequivocal
105370863.jpeg,0.06463623046875,0.9892578125,-2.671875,4.51953125,Detected,Not Detected,Unequivocal,Unequivocal
105375391.jpg,0.34375,0.2108154296875,-0.64697265625,-1.3203125,Not Detected,Not Detected,Unequivocal,Equivocal
105563292.jpeg,0.0867919921875,0.97802734375,-2.353515625,3.791015625,Detected,Not Detected,Unequivocal,Unequivocal
105614716.jpg,0.040985107421875,0.9990234375,-3.15234375,6.9296875,Detected,Not Detected,Unequivocal,Unequivocal
105728316.jpg,0.0301513671875,0.99609375,-3.470703125,5.48828125,Detected,Not Detected,Unequivocal,Unequivocal
105986025.jpg,0.81640625,0.0278472900390625,1.4921875,-3.552734375,Not Detected,Detected,Unequivocal,Unequivocal
106175571.jpg,0.24560546875,0.1949462890625,-1.1220703125,-1.41796875,Not Detected,Not Detected,Unequivocal,Equivocal
106268376.jpeg,0.0099334716796875,0.9990234375,-4.6015625,6.7265625,Detected,Not Detected,Unequivocal,Unequivocal
106499481.jpg,0.144287109375,0.62060546875,-1.7802734375,0.4912109375,Not Detected,Not Detected,Equivocal,Unequivocal
106519888.jpg,0.491455078125,0.027801513671875,-0.034088134765625,-3.5546875,Not Detected,Not Detected,Unequivocal,Equivocal
106529491.jpg,0.75146484375,0.15283203125,1.107421875,-1.712890625,Not Detected,Detected,Unequivocal,Unequivocal
106556724.jpg,0.062225341796875,0.145751953125,-2.712890625,-1.7685546875,Not Detected,Not Detected,Unequivocal,Unequivocal
106704861.jpeg,0.0236053466796875,0.99951171875,-3.72265625,7.8671875,Detected,Not Detected,Unequivocal,Unequivocal
107050000.jpeg,0.03143310546875,0.92529296875,-3.427734375,2.51953125,Detected,Not Detected,Unequivocal,Unequivocal
10709605.jpg,0.0296478271484375,0.99755859375,-3.48828125,6.00390625,Detected,Not Detected,Unequivocal,Unequivocal
107133001.jpeg,0.303955078125,0.035400390625,-0.82861328125,-3.3046875,Not Detected,Not Detected,Unequivocal,Equivocal
107137069.jpeg,0.1614990234375,0.50341796875,-1.6474609375,0.0131988525390625,Not Detected,Not Detected,Equivocal,Unequivocal
107228173.jpeg,0.100341796875,0.99853515625,-2.193359375,6.54296875,Detected,Not Detected,Unequivocal,Unequivocal
107228178.jpeg,0.0243377685546875,0.1424560546875,-3.69140625,-1.794921875,Not Detected,Not Detected,Unequivocal,Unequivocal
107228179.jpeg,0.00464630126953125,0.9990234375,-5.3671875,6.87109375,Detected,Not Detected,Unequivocal,Unequivocal
107228184.jpeg,0.01433563232421875,0.99853515625,-4.23046875,6.68359375,Detected,Not Detected,Unequivocal,Unequivocal
107228186.jpeg,0.063232421875,0.96826171875,-2.6953125,3.421875,Detected,Not Detected,Unequivocal,Unequivocal
107228187.jpeg,0.0206451416015625,0.2998046875,-3.859375,-0.84814453125,Not Detected,Not Detected,Equivocal,Unequivocal
107228189.jpeg,0.01450347900390625,0.9990234375,-4.21875,6.734375,Detected,Not Detected,Unequivocal,Unequivocal
107228201.jpeg,0.1429443359375,0.87353515625,-1.791015625,1.9345703125,Detected,Not Detected,Unequivocal,Unequivocal
107255874.jpg,0.0738525390625,0.0305023193359375,-2.529296875,-3.458984375,Not Detected,Not Detected,Unequivocal,Unequivocal
107347151.jpeg,0.060516357421875,0.99658203125,-2.7421875,5.69921875,Detected,Not Detected,Unequivocal,Unequivocal
107397077.jpg,0.0117340087890625,0.998046875,-4.43359375,6.234375,Detected,Not Detected,Unequivocal,Unequivocal
107397141.jpg,0.297607421875,0.335205078125,-0.8583984375,-0.68505859375,Not Detected,Not Detected,Equivocal,Equivocal
107447111.jpg,0.125732421875,0.416259765625,-1.939453125,-0.337646484375,Not Detected,Not Detected,Equivocal,Unequivocal
107484152.jpeg,0.10211181640625,0.66943359375,-2.173828125,0.70458984375,Not Detected,Not Detected,Equivocal,Unequivocal
107484313.jpeg,0.024566650390625,0.9990234375,-3.681640625,6.96484375,Detected,Not Detected,Unequivocal,Unequivocal
