Tue Jun 16 11:34:06 PM EDT 2026 host=c0700a-s7.ufhpc
SRC_ROOT=/blue/guralnick/share/phenobase_inat_data/images/medium
DEST_ROOT=/orange/guralnick/phenobase_inat_data_TEMP_MOVED/images/medium
BATCH_LIST=/blue/guralnick/share/r.dinnage/Projects/phenovision/.claude_notes_and_utils/batches_to_move.txt (62 batches)  PARALLEL=8  DELETE_AFTER_VERIFY=1
[batch_877] moved_deleted (src_files=46682 dst_files=46682 pending=0)
[batch_876] moved_deleted (src_files=50528 dst_files=50528 pending=0)
[batch_873] moved_deleted (src_files=51143 dst_files=51143 pending=0)
[batch_879] moved_deleted (src_files=46763 dst_files=46763 pending=0)
[batch_875] moved_deleted (src_files=99994 dst_files=99994 pending=0)
[batch_871] moved_deleted (src_files=99998 dst_files=99998 pending=0)
[batch_878] moved_deleted (src_files=100000 dst_files=100000 pending=0)
[batch_874] moved_deleted (src_files=99986 dst_files=99986 pending=0)
[batch_872] moved_deleted (src_files=99999 dst_files=99999 pending=0)
[batch_880] moved_deleted (src_files=99987 dst_files=99987 pending=0)
[batch_881] moved_deleted (src_files=99995 dst_files=99995 pending=0)
[batch_882] moved_deleted (src_files=99988 dst_files=99988 pending=0)
[batch_884] moved_deleted (src_files=99990 dst_files=99990 pending=0)
[batch_883] moved_deleted (src_files=99994 dst_files=99994 pending=0)
[batch_887] moved_deleted (src_files=99182 dst_files=99182 pending=0)
[batch_885] moved_deleted (src_files=99994 dst_files=99994 pending=0)
[batch_886] moved_deleted (src_files=99996 dst_files=99996 pending=0)
[batch_889] moved_deleted (src_files=99994 dst_files=99994 pending=0)
[batch_888] moved_deleted (src_files=99990 dst_files=99990 pending=0)
[batch_890] moved_deleted (src_files=99715 dst_files=99715 pending=0)
[batch_894] moved_deleted (src_files=99985 dst_files=99985 pending=0)
[batch_893] moved_deleted (src_files=99994 dst_files=99994 pending=0)
[batch_892] moved_deleted (src_files=99991 dst_files=99991 pending=0)
[batch_891] moved_deleted (src_files=99991 dst_files=99991 pending=0)
[batch_895] moved_deleted (src_files=99947 dst_files=99947 pending=0)
[batch_897] moved_deleted (src_files=99959 dst_files=99959 pending=0)
[batch_896] moved_deleted (src_files=99982 dst_files=99982 pending=0)
[batch_898] moved_deleted (src_files=99975 dst_files=99975 pending=0)
[batch_901] moved_deleted (src_files=99889 dst_files=99889 pending=0)
[batch_903] moved_deleted (src_files=99885 dst_files=99885 pending=0)
[batch_900] moved_deleted (src_files=99953 dst_files=99953 pending=0)
[batch_899] moved_deleted (src_files=99555 dst_files=99555 pending=0)
[batch_902] moved_deleted (src_files=99924 dst_files=99924 pending=0)
[batch_904] moved_deleted (src_files=99929 dst_files=99929 pending=0)
[batch_905] moved_deleted (src_files=99976 dst_files=99976 pending=0)
[batch_906] moved_deleted (src_files=99914 dst_files=99914 pending=0)
[batch_911] moved_deleted (src_files=99945 dst_files=99945 pending=0)
[batch_909] moved_deleted (src_files=99947 dst_files=99947 pending=0)
[batch_908] moved_deleted (src_files=99951 dst_files=99951 pending=0)
[batch_910] moved_deleted (src_files=99973 dst_files=99973 pending=0)
[batch_907] moved_deleted (src_files=99942 dst_files=99942 pending=0)
[batch_912] moved_deleted (src_files=99966 dst_files=99966 pending=0)
[batch_913] moved_deleted (src_files=99896 dst_files=99896 pending=0)
[batch_914] moved_deleted (src_files=99949 dst_files=99949 pending=0)
[batch_917] moved_deleted (src_files=99901 dst_files=99901 pending=0)
[batch_915] moved_deleted (src_files=99932 dst_files=99932 pending=0)
[batch_918] moved_deleted (src_files=99879 dst_files=99879 pending=0)
[batch_919] moved_deleted (src_files=99933 dst_files=99933 pending=0)
[batch_916] moved_deleted (src_files=99949 dst_files=99949 pending=0)
[batch_921] moved_deleted (src_files=99943 dst_files=99943 pending=0)
[batch_920] moved_deleted (src_files=99930 dst_files=99930 pending=0)
[batch_922] moved_deleted (src_files=99967 dst_files=99967 pending=0)
[batch_924] moved_deleted (src_files=99924 dst_files=99924 pending=0)
[batch_927] moved_deleted (src_files=99921 dst_files=99921 pending=0)
[batch_923] moved_deleted (src_files=99917 dst_files=99917 pending=0)
[batch_926] moved_deleted (src_files=99806 dst_files=99806 pending=0)
[batch_925] moved_deleted (src_files=99933 dst_files=99933 pending=0)
[batch_930] moved_deleted (src_files=99972 dst_files=99972 pending=0)
[batch_928] moved_deleted (src_files=99934 dst_files=99934 pending=0)
[batch_929] moved_deleted (src_files=99904 dst_files=99904 pending=0)
[batch_932] moved_deleted (src_files=91567 dst_files=91567 pending=0)
[batch_931] moved_deleted (src_files=99963 dst_files=99963 pending=0)

=== SUMMARY (Wed Jun 17 01:25:31 AM EDT 2026) ===
  moved_deleted                62
manifest: /blue/guralnick/share/r.dinnage/Projects/phenovision/.claude_notes_and_utils/moved_batches_manifest.csv
Done.
